,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,4.778543596267699,0.9541316526610645,0.0948905109489051,0.65,0.16560509554140126,2712,124,7,13,0.9565826330532213,0.1388888888888889,1.0,0.24390243902439027,2712,124,0,20
Q99.100,4.9967490200996085,0.957983193277311,0.10317460317460317,0.65,0.1780821917808219,2723,113,7,13,0.9604341736694678,0.15037593984962405,1.0,0.26143790849673204,2723,113,0,20
Q99.200,5.393124061584474,0.9639355742296919,0.11926605504587157,0.65,0.20155038759689922,2740,96,7,13,0.9663865546218487,0.1724137931034483,1.0,0.29411764705882354,2740,96,0,20
Q99.300,5.777269982337846,0.9705882352941176,0.14444444444444443,0.65,0.23636363636363633,2759,77,7,13,0.9730392156862745,0.20618556701030927,1.0,0.3418803418803419,2759,77,0,20
Q99.400,6.927623596191418,0.9796918767507002,0.203125,0.65,0.30952380952380953,2785,51,7,13,0.9821428571428571,0.28169014084507044,1.0,0.43956043956043955,2785,51,0,20
Q99.500,7.2714033174514725,0.9814425770308123,0.22033898305084745,0.65,0.3291139240506329,2790,46,7,13,0.9838935574229691,0.30303030303030304,1.0,0.4651162790697675,2790,46,0,20
Q99.600,16.308629081726064,0.9912464985994398,0.14285714285714285,0.05,0.07407407407407408,2830,6,19,1,0.9978991596638656,0.7692307692307693,1.0,0.8695652173913044,2830,6,0,20
Q99.700,16.72037953186037,0.9912464985994398,0.14285714285714285,0.05,0.07407407407407408,2830,6,19,1,0.9978991596638656,0.7692307692307693,1.0,0.8695652173913044,2830,6,0,20
Q99.800,21.886287788391083,0.992296918767507,0.0,0.0,0.0,2834,2,20,0,0.992296918767507,0.0,0.0,0.0,2834,2,20,0
Q99.900,31.939916543960642,0.992296918767507,0.0,0.0,0.0,2834,2,20,0,0.992296918767507,0.0,0.0,0.0,2834,2,20,0
Q100.000,41.84105682373047,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0
