,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09067719680464778,0.07829407434670592,1.0,0.1452184078710459,1480,100171,0,8509,0.09067719680464778,0.07829407434670592,1.0,0.1452184078710459,1480,100171,0,8509
Q91.000,0.09718591140159767,0.07881403814269704,1.0,0.14611237035510682,2197,99454,0,8509,0.09718591140159767,0.07881403814269704,1.0,0.14611237035510682,2197,99454,0,8509
Q92.000,0.10798838053740015,0.07969243160724153,1.0,0.14762061726895784,3387,98264,0,8509,0.10798838053740015,0.07969243160724153,1.0,0.14762061726895784,3387,98264,0,8509
Q93.000,0.12652505446623094,0.08124624036818134,1.0,0.15028258565877783,5429,96222,0,8509,0.12652505446623094,0.08124624036818134,1.0,0.15028258565877783,5429,96222,0,8509
Q94.000,0.1578068264342774,0.0840104655180925,1.0,0.15499936244239212,8875,92776,0,8509,0.1578068264342774,0.0840104655180925,1.0,0.15499936244239212,8875,92776,0,8509
Q95.000,0.21166485112563543,0.08923777162513634,1.0,0.16385361203916776,14808,86843,0,8509,0.21166485112563543,0.08923777162513634,1.0,0.16385361203916776,14808,86843,0,8509
Q96.000,0.29603304284676835,0.09887517720607032,1.0,0.17995706747596943,24102,77549,0,8509,0.29603304284676835,0.09887517720607032,1.0,0.17995706747596943,24102,77549,0,8509
Q97.000,0.4094589687726943,0.11566956214401261,1.0,0.20735451798420895,36597,65054,0,8509,0.4094589687726943,0.11566956214401261,1.0,0.20735451798420895,36597,65054,0,8509
Q98.000,0.6020697167755992,0.16255611806285222,1.0,0.27965293982318334,57815,43836,0,8509,0.6020697167755992,0.16255611806285222,1.0,0.27965293982318334,57815,43836,0,8509
Q99.000,0.8047839506172839,0.28350103285133604,1.0,0.4417620642213742,80146,21505,0,8509,0.8047839506172839,0.28350103285133604,1.0,0.4417620642213742,80146,21505,0,8509
Q100.000,0.922803195352215,0.7777777777777778,0.0008226583617346339,0.0016435783047663768,101649,2,8502,7,0.9234295570079883,0.9743589743589743,0.008931719355976026,0.01770117619657622,101649,2,8433,76
Qbest,0.9637981118373276,0.8713652045342534,0.6233399929486426,0.7267744587558235,100868,783,3205,5304,0.9925108932461874,0.9153513513513514,0.9950640498295922,0.9535446815699082,100868,783,42,8467
