,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q95,,0.6513,0.20211019929660023,0.9112050739957717,0.3308386106313567,5651,3403,84,862,0.6529,0.20509226816164447,0.9281183932346723,0.33594796250239145,5651,3403,68,878
Q99,,0.7626,0.26788036410923277,0.8710359408033826,0.40974639482844355,6802,2252,122,824,0.7642,0.2716688227684347,0.8879492600422833,0.4160475482912333,6802,2252,106,840
Q100,,0.9308,0.59921875,0.8107822410147991,0.6891284815813118,8541,513,179,767,0.9332,0.6065950920245399,0.8361522198731501,0.7031111111111111,8541,513,155,791
Qbest,,0.9601,0.8538163001293662,0.6976744186046512,0.7678883071553229,8941,113,286,660,0.9637,0.8603213844252163,0.7357293868921776,0.7931623931623931,8941,113,250,696
